"pid","grp","duration","entry","exit","num","ind"
17,"inactive",5,0,26,7046,2
18,"inactive",5,0,29,7046,2
23,"inactive",5,0,28,7046,2
26,"inactive",5,0,25,7046,2
45,"inactive",6,1,27,7046,2
52,"inactive",6,1,28,7046,2
75,"inactive",7,2,30,7046,2
80,"inactive",7,2,31,7046,2
82,"inactive",7,2,36,7046,2
86,"inactive",7,2,33,7046,2
89,"inactive",7,2,32,7046,2
90,"inactive",7,2,32,7046,2
99,"inactive",7,2,35,7046,2
104,"inactive",8,3,36,7046,2
111,"inactive",8,3,36,7046,2
130,"inactive",8,3,41,7046,2
132,"inactive",8,3,40,7046,2
141,"inactive",9,4,41,7046,2
152,"inactive",9,4,43,7046,2
155,"inactive",9,4,42,7046,2
168,"inactive",9,4,49,7046,2
180,"inactive",10,5,42,7046,2
182,"inactive",10,5,44,7046,2
183,"inactive",10,5,47,7046,2
199,"inactive",10,5,50,7046,2
224,"inactive",11,6,47,7046,2
226,"inactive",11,6,52,7046,2
227,"inactive",11,6,49,7046,2
230,"inactive",11,6,56,7046,2
237,"inactive",11,6,55,7046,2
240,"inactive",11,6,50,7046,2
242,"inactive",12,7,51,7046,2
244,"inactive",12,7,52,7046,2
248,"inactive",12,7,57,7046,2
264,"inactive",12,7,53,7046,2
271,"inactive",13,8,57,7046,2
278,"inactive",13,8,52,7046,2
282,"inactive",13,8,57,7046,2
290,"inactive",14,9,56,7046,2
293,"inactive",14,9,61,7046,2
315,"inactive",15,10,61,7046,2
321,"inactive",15,10,65,7046,2
333,"inactive",15,10,64,7046,2
353,"inactive",16,11,67,7046,2
354,"inactive",16,11,62,7046,2
361,"inactive",16,11,65,7046,2
364,"inactive",16,11,66,7046,2
370,"inactive",16,11,66,7046,2
379,"inactive",17,12,75,7046,2
386,"inactive",17,12,72,7046,2
394,"inactive",17,12,70,7046,2
402,"inactive",17,12,74,7046,2
410,"inactive",18,13,70,7046,2
419,"inactive",18,13,72,7046,2
427,"inactive",18,13,72,7046,2
432,"inactive",19,14,75,7046,2
450,"inactive",19,14,76,7046,2
457,"inactive",19,14,87,7046,2
465,"inactive",20,15,78,7046,2
477,"inactive",20,15,83,7046,2
508,"inactive",22,17,83,7046,2
509,"inactive",22,17,88,7046,2
510,"inactive",22,17,86,7046,2
524,"inactive",22,17,87,7046,2
536,"inactive",23,18,89,7046,2
547,"inactive",23,18,89,7046,2
552,"inactive",23,18,89,7046,2
557,"inactive",23,18,93,7046,2
559,"inactive",23,18,91,7046,2
568,"inactive",24,19,93,7046,2
576,"inactive",24,19,101,7046,2
587,"inactive",24,19,94,7046,2
607,"inactive",25,20,100,7046,2
612,"inactive",25,20,97,7046,2
614,"inactive",25,20,95,7046,2
615,"inactive",25,20,95,7046,2
628,"inactive",25,20,106,7046,2
636,"inactive",26,21,105,7046,2
637,"inactive",26,21,100,7046,2
640,"inactive",26,21,101,7046,2
644,"inactive",26,21,104,7046,2
657,"inactive",27,22,104,7046,2
659,"inactive",27,22,106,7046,2
669,"inactive",27,22,105,7046,2
673,"inactive",27,22,102,7046,2
674,"inactive",27,22,108,7046,2
680,"inactive",27,22,112,7046,2
684,"inactive",27,22,109,7046,2
687,"inactive",27,22,105,7046,2
690,"inactive",27,22,104,7046,2
691,"inactive",27,22,108,7046,2
706,"inactive",28,23,107,7046,2
708,"inactive",28,23,111,7046,2
709,"inactive",28,23,109,7046,2
726,"inactive",28,23,110,7046,2
727,"inactive",28,23,110,7046,2
730,"inactive",28,23,113,7046,2
738,"inactive",29,24,112,7046,2
739,"inactive",29,24,116,7046,2
744,"inactive",29,24,121,7046,2
746,"inactive",29,24,117,7046,2
765,"inactive",29,24,116,7046,2
772,"inactive",30,25,123,7046,2
775,"inactive",30,25,125,7046,2
781,"inactive",30,25,117,7046,2
786,"inactive",30,25,115,7046,2
801,"inactive",31,26,119,7046,2
802,"inactive",31,26,121,7046,2
804,"inactive",31,26,126,7046,2
809,"inactive",31,26,123,7046,2
830,"inactive",32,27,128,7046,2
852,"inactive",33,28,129,7046,2
856,"inactive",33,28,127,7046,2
857,"inactive",33,28,133,7046,2
858,"inactive",33,28,128,7046,2
865,"inactive",33,28,130,7046,2
867,"inactive",33,28,127,7046,2
870,"inactive",33,28,131,7046,2
881,"inactive",33,28,133,7046,2
882,"inactive",33,28,135,7046,2
889,"inactive",34,29,135,7046,2
894,"inactive",34,29,130,7046,2
897,"inactive",34,29,130,7046,2
914,"inactive",34,29,141,7046,2
917,"inactive",34,29,136,7046,2
920,"inactive",34,29,138,7046,2
924,"inactive",35,30,140,7046,2
938,"inactive",35,30,142,7046,2
951,"inactive",36,31,140,7046,2
954,"inactive",36,31,138,7046,2
962,"inactive",36,31,142,7046,2
967,"inactive",36,31,144,7046,2
971,"inactive",36,31,140,7046,2
974,"inactive",36,31,144,7046,2
975,"inactive",36,31,144,7046,2
985,"inactive",37,32,145,7046,2
986,"inactive",37,32,143,7046,2
987,"inactive",37,32,147,7046,2
989,"inactive",37,32,143,7046,2
993,"inactive",37,32,144,7046,2
995,"inactive",37,32,145,7046,2
